1 0 0.0 0.0
2 0 0.0 0.0
3 0 0.0 0.0
4 0 0.0 0.0
5 16000000 0.0 0.0
6 16000000 16032.34375 160323.4375
7 16000000 48102.1484375 320698.046875
8 16000000 96208.2421875 481060.9375
9 16000000 160350.664062 641424.21875
10 16000000 240529.375 801787.109375
11 16000000 336745.859375 962164.84375
12 16000000 448993.085938 1122472.26562
13 16000000 577267.03125 1282739.45312
14 16000000 721572.5 1443054.6875
15 16000000 881909.023438 1603365.23438
16 16000000 1058283.28125 1763742.57812
17 16000000 1250697.69531 1924144.14062
18 16000000 1459150.82031 2084531.25
19 16000000 1683642.38281 2244915.625
20 16000000 1924169.72656 2405273.4375
21 16000000 2180735.82031 2565660.9375
22 16000000 2453344.49219 2726086.71875
23 16000000 2742003.04688 2886585.54688
24 16000000 3046717.14844 3047141.01562
25 16000000 3367486.75781 3207696.09375
26 16000000 3704308.35938 3368216.01562
27 16000000 4057177.61719 3528692.57812
28 16000000 4426092.85156 3689152.34375
29 16000000 4811059.60938 3849667.57812
30 16000000 5211059.60938 4000000
31 16000000 5611059.60938 4000000
32 16000000 6011059.60938 4000000
33 16000000 6411059.60938 4000000
34 16000000 6811059.60938 4000000
35 16000000 7211059.60938 4000000
36 16000000 7611059.60938 4000000
37 16000000 8011059.60938 4000000
38 16000000 8411059.60938 4000000
39 16000000 8811059.60938 4000000
40 16000000 9211059.60938 4000000
41 16000000 9611059.60938 4000000
42 16000000 10011059.6094 4000000
43 16000000 10411059.6094 4000000
44 16000000 10811059.6094 4000000
45 16000000 11211059.6094 4000000
46 16000000 11611059.6094 4000000
47 16000000 12011059.6094 4000000
48 16000000 12411059.6094 4000000
49 16000000 12811059.6094 4000000
50 16000000 13211059.6094 4000000
51 16000000 13611059.6094 4000000
52 16000000 14011059.6094 4000000
53 16000000 14411059.6094 4000000
54 16000000 14811059.6094 4000000
55 16000000 15211059.6094 4000000
56 16000000 15611059.6094 4000000
57 16000000 16011059.6094 4000000
58 16000000 16395025.0391 3839654.29688
59 16000000 16762951.9141 3679268.75
60 16000000 17114840.3906 3518884.76562
61 16000000 17450693.2031 3358528.125
62 16000000 17770501.9922 3198087.89062
63 16000000 18074259.1016 3037571.09375
64 16000000 18361966.1328 2877070.3125
65 16000000 18633620.5078 2716543.75
66 16000000 18889217.8125 2555973.04688
67 16000000 19128758.7891 2395409.76562
68 16000000 19352246.7969 2234880.07812
69 16000000 19559681.2109 2074344.14062
70 16000000 19751066.3281 1913851.17188
71 16000000 19926395.5859 1753292.57812
72 16000000 20085672.2266 1592766.40625
73 16000000 20228902.3047 1432300.78125
74 16000000 20356089.0234 1271867.1875
75 16000000 20467232.6953 1111436.71875
76 16000000 20562333.3203 951006.25
77 16000000 20641393.6328 790603.125
78 16000000 20704409.8047 630161.71875
79 16000000 20751374.4531 469646.484375
80 16000000 20782298.7891 309243.359375
81 16000000 20797171.9141 148731.25
82 16000000 20795999.4141 -11725.0
83 16000000 20778774.6094 -172248.046875
84 16000000 20745499.2578 -332753.515625
85 16000000 20696166.6406 -493326.171875
86 16000000 20630783.9062 -653827.34375
87 16000000 20549355.1172 -814287.890625
88 16000000 20451884.5703 -974705.46875
89 16000000 20338361.8359 -1135227.34375
90 16000000 20208785.5078 -1295763.28125
91 16000000 20063159.2578 -1456262.5
92 16000000 19901483.0859 -1616761.71875
93 16000000 19723746.7578 -1777363.28125
94 16000000 19529954.6094 -1937921.48438
95 16000000 19320114.4141 -2098401.95312
96 16000000 19094226.875 -2258875.39062
97 16000000 18852290.7031 -2419361.71875
98 16000000 18594318.7109 -2579719.92188
99 16000000 18320310.5469 -2740081.64062
100 16000000 18030258.7109 -2900518.35938
101 16000000 17724162.0312 -3060966.79688
102 16000000 17402007.6172 -3221544.14062
103 16000000 17063801.6797 -3382059.375
104 16000000 16709552.6953 -3542489.84375
105 16000000 16339267.2656 -3702854.29688
106 16000000 15952948.3984 -3863188.67188
107 16000000 15582659.8047 -3702885.9375
108 16000000 15228400.9375 -3542588.67188
109 16000000 14890176.6797 -3382242.57812
110 16000000 14567992.3828 -3221842.96875
111 16000000 14261841.3672 -3061510.15625
112 16000000 13971726.3281 -2901150.39062
113 16000000 13697644.6094 -2740817.1875
114 16000000 13439600.0 -2580446.09375
115 16000000 13197589.4531 -2420105.46875
116 16000000 12971605.3125 -2259841.40625
117 16000000 12761651.4062 -2099539.0625
118 16000000 12567726.4844 -1939249.21875
119 16000000 12389832.2656 -1778942.1875
120 16000000 12227971.3281 -1618609.375
121 16000000 12082150.0781 -1458212.5
122 16000000 11952375.7031 -1297743.75
123 16000000 11838646.2891 -1137294.14062
124 16000000 11740963.9453 -976823.4375
125 16000000 11659324.4531 -816394.921875
126 16000000 11593723.5156 -656009.375
127 16000000 11544159.375 -495641.40625
128 16000000 11510627.4219 -335319.53125
129 16000000 11493123.125 -175042.96875
130 16000000 11491655.1562 -14679.6875
131 16000000 11506223.3594 145682.03125
132 16000000 11536821.9531 305985.9375
133 16000000 11583448.2422 466262.890625
134 16000000 11646109.8438 626616.015625
135 16000000 11724807.8125 786979.6875
136 16000000 11819542.2656 947344.53125
137 16000000 11930315.2734 1107730.07812
138 16000000 12057130.0391 1268147.65625
139 16000000 12199977.4219 1428473.82812
140 16000000 12358853.2812 1588758.59375
141 16000000 12533756.9922 1749037.10938
142 16000000 12724688.8672 1909318.75
143 16000000 12931656.4062 2069675.39062
144 16000000 13154660.5859 2230041.79688
145 16000000 13393703.6719 2390430.85938
146 16000000 13648774.7266 2550710.54688
